X,Y,fid,Name,No,SK_ID,SK_start_position,Side_road___kp,Road,Kp,Kp_SK,odc,Modules,Module_1,Module_2,Module_3,Module_4,Module_5,Module_6,Module_7,Module_8,Module_9,Module_10,Module_11,SK_ID_full,status,GSM,Odcinek,Typ szafy,icon_url
18.9326144,50.368243,"1304",SSKA1ckm000231,"2307.0","2307.0","1252.0",,A1,,,,"1.0",106_A_3_052,,,,,,,,,,,ID_0_2307,"0",,"2",M-3.1,./0.png
18.931587,50.368107,"1305",SSKA1ckm000304ŁL,"2308.0","2308.0","1253.0",,A1,,,,"2.0",104_B_3_057,114_A_3_058,,,,,,,,,,ID_0_2308,"0",,"2",M-3.1,./0.png
18.9311,50.369062,"1306",SSKA1ckm000349ŁP,"2309.0","2309.0","1255.0",,A1,,,,"2.0",104_B_3_058,114_A_3_059,,,,,,,,,,ID_0_2309,"0",,"2",M-3.1,./0.png
18.9301647,50.3687425,"1307",SSKA1ckm000422ŁP,"2310.0","2310.0","1257.0",,A1,,,,"1.0",104_C_3_067,,,,,,,,,,,ID_0_2310,"0",,"2",M-3.1,./0.png
18.930177,50.36907,"1308",SSKA1ckm000410ŁP,"2311.0","2311.0","1258.0",,A1,,,,"2.0",104_B_3_020,114_A_3_020,,,,,,,,,,ID_0_2311,"0",,"2",M-3.1,./0.png
18.9277274,50.3686566,"1309",SSKA1ckm000593,"2312.0","2312.0","1260.0",,A1,,,,"1.0",104_C_3_068,,,,,,,,,,,ID_0_2312,"0",,"2",M-3.1,./0.png
18.9183719,50.3690881,"1310",SSKA1ckm001253,"2313.0","2313.0","1261.0",,A1,,, 104_B_3_325,"5.0",101_A_3_058,104_B_3_319,104_B_3_325,114_A_3_305,114_A_3_309,,,,,,,ID_0_2313,"0",,"2",M-3.1,./0.png
18.9108649,50.3698897,"1312",SSKA1ckm001800,"2315.0","2315.0","1266.0",,A1,,,,"2.0",101_A_3_013,103_B_3_036.1,,,,,,,,,,ID_0_2315,"0",,"2",M-3.2,./0.png
18.9036003,50.3720847,"1313",SSKA1ckm002365,"2316.0","2316.0","1268.0",,A1,,,,"1.0",104_C_3_073,,,,,,,,,,,ID_0_2316,"0",,"2",M-3.1,./0.png
18.900889,50.373061,"1314",SSKA1ckm002567ŁP,"2317.0","2317.0","1269.0",,A1,,,,"2.0",104_B_3_177,114_A_3_178,,,,,,,,,,ID_0_2317,"0",,"2",M-3.2,./0.png
18.898678,50.3728865,"1315",SSKA1ckm002679,"2318.0","2318.0","1271.0",,A1,,,,"2.0",104_C_3_072,106_A_3_053,,,,,,,,,,ID_0_2318,"0",,"2",M-3.1,./0.png
18.8987669,50.3732057,"1316",SSKA1ckm002721ŁP,"2319.0","2319.0","1273.0",,A1,,,,"2.0",104_B_3_021,114_A_3_021,,,,,,,,,,ID_0_2319,"0",,"2",M-3.1,./0.png
18.896951,50.372264,"1317",SSKA1ckm002803ŁL,"2320.0","2320.0","1275.0",,A1,,, 104_C_3_071,"5.0",104_B_3_142,104_B_3_143,104_C_3_071,114_A_3_143,114_A_3_144,,,,,,,ID_0_2320,"0",,"2",M-3.2,./0.png
18.89524,50.374739,"1318",SSKA1ckm002952ŁP,"2321.0","2321.0","1280.0",,A1,,,,"1.0",101_C_3_022,,,,,,,,,,,ID_0_2321,"0",,"2",M-3.2,./0.png
18.8942066,50.3728078,"1319",SSKA1ckm003050,"2322.0","2322.0","1281.0",,A1,,,,"1.0",104_C_3_074,,,,,,,,,,,ID_0_2322,"0",,"2",M-3.1,./0.png
18.8749068,50.3770723,"1320",SSKA1ckm004567,"2323.0","2323.0","1282.0",,A1,,,,"2.0",101_A_3_083,103_B_3_036.2,,,,,,,,,,ID_0_2323,"0",,"2",M-3.2,./0.png
18.8734738,50.3775243,"1321",SSKA1ckm004780,"2324.0","2324.0","1284.0",,A1,,,,"1.0",101_A_3_028,,,,,,,,,,,ID_0_2324,"0",,"2",M-3.1,./0.png
18.8355963,50.3870525,"1322",SSKA1ckm007676,"2325.0","2325.0","1285.0",,A1,,, 114_B_3_002),"4.0",104_B_3_326,104_B_3_339,106_B_3_002,114_B_3_002,,,,,,,,ID_0_2325,"0",,"2",M-3.3,./0.png
18.7762614,50.3707804,"1323",SSKA1ckm012587ŁL,"2326.0","2326.0","1289.0",,A1,,,,"1.0",101_C_3_010,,,,,,,,,,,ID_0_2326,"0",,"2",M-3.2,./0.png
18.7751218,50.3714251,"1324",SSKA1ckm012628ŁL,"2327.0","2327.0","1290.0",,Ł,,,,"1.0",103_B_3_034,,,,,,,,,,,ID_0_2327,"0",,"2",M-3.2,./0.png
18.771649,50.373806,"1325",SSKA1ckm012718,"2328.0","2328.0","1291.0",,A1,,,,"3.0",104_B_3_078,106_A_3_016,114_A_3_079,,,,,,,,,ID_0_2328,"0",,"2",M-3.1,./0.png
18.7736635,50.3748883,"1326",SSKA1ckm012634,"2329.0","2329.0","1294.0",,A1,,, 104_C_3_075,"5.0",103_B_3_008,104_B_3_141,104_C_3_075,104_C_3_078,114_A_3_142,,,,,,,ID_0_2329,"0",,"2",M-3.3,./0.png
18.7703239,50.3748262,"1327",SSKA1ckm012821ŁP,"2330.0","2330.0","1299.0",,A1,,,,"2.0",104_B_3_040,114_A_3_041,,,,,,,,,,ID_0_2330,"0",,"2",M-3.2,./0.png
18.769489,50.374952,"1328",SSKA1ckm012906LŁ,"2331.0","2331.0","1301.0",,A1,,,,"2.0",104_B_3_000,114_A_3_000,,,,,,,,,,ID_0_2331,"0",,"2",M-3.1,./0.png
18.768486,50.3742505,"1329",SSKA1ckm012934,"2332.0","2332.0","1303.0",,A1,,,,"1.0",104_C_3_076,,,,,,,,,,,ID_0_2332,"0",,"2",M-3.1,./0.png
18.7685335,50.374101,"1330",SSKA1ckm012971,"2333.0","2333.0","1304.0",,A1,,,,"1.0",104_C_3_077,,,,,,,,,,,ID_0_2333,"0",,"2",M-3.1,./0.png
18.7518553,50.3723128,"1331",SSKA1ckm014114,"2334.0","2334.0","1305.0",,A1,,,,"2.0",101_A_3_029,101_A_3_044,,,,,,,,,,ID_0_2334,"0",,"2",M-3.1,./0.png
18.7465767,50.371638,"1332",SSKA1ckm014559,"2335.0","2335.0","1307.0",,A1,,,,"2.0",104_B_3_335,114_A_3_316,,,,,,,,,,ID_0_2335,"0",,"2",M-3.1,./0.png
18.7451499,50.3715859,"1333",SSKA1ckm014672,"2336.0","2336.0","1309.0",,A1,,,,"1.0",104_C_3_000,,,,,,,,,,,ID_0_2336,"0",,"2",M-3.1,./0.png
18.7430673,50.3711618,"1334",SSKA1ckm014765,"2337.0","2337.0","1310.0",,A1,,,,"1.0",106_A_3_013,,,,,,,,,,,ID_0_2337,"0",,"2",M-3.1,./0.png
18.7418639,50.3713999,"1335",SSKA1ckm014894,"2338.0","2338.0","1311.0",,A1,,,,"1.0",106_A_3_012,,,,,,,,,,,ID_0_2338,"0",,"2",M-3.1,./0.png
